State,R0,psi,alpha,xi,k,A,I0,ag ,CumCase,Ratio,PeakCase,TimePeak,DaysAfter,EndCases,Deaths,RepCase
Indiana,1.94352638052706,18.5703730394349,0.014827911719123,0.008074631957149,0.209786203726686,5094.0055,1392.41838885846,0.830057348029868,5.29944233197977,10.7717286050816,0.870391167208634,45,45,0.244433495982397,0.037680725480508,0.491976963611927
Iowa,1.7535258195308,21.4965803313166,0.01021627332278,0.006198164627601,0.292908451053912,1213.99266666667,419.816436710114,3.7511893505527,3.59409277529413,5.92928965946292,0.56413379694119,55,47,0.265122926338757,0.021973811129628,0.606159081730489
Kansas,2.05493551062682,55.6654572885835,0.037800160732339,0.002666810979601,0.263322113579244,1962.21952891131,1999.99335311227,24.9999858273393,3.39166241297826,11.1733370425384,0.444299351624213,26,46,0.225399914729946,0.009086596743843,0.303549637862506
Kentucky,2.3646479056739,158.772770394344,0.030372955698575,0.015017750567693,0.734076404726428,4482.75739935057,61.198328558912,0.500002338141636,1.04875028528507,4.72824861316937,0.170732998309501,39,45,0.070973119195097,0.012444898334341,0.221805232991353
Louisiana,2.48573053492892,32.24789853124,0.017600828167015,0.016488016329544,0.56209990519405,7158.78569067516,1999.9991570092,2.57846069138932,4.08235845961853,5.053925118525,0.822816888166655,25,48,0.147526168869814,0.067464893529623,0.80775998137661
Maine,2.49478575022689,137.678399776211,0.045699343463787,0.004338581730677,0.735945421307552,3567.95645883881,585.635614754091,9.09813234565901,1.85725821161843,12.235570787474,0.25696214948332,19,51,0.142130563656242,0.008101440687326,0.151791709915141
Maryland,2.09516086413305,19.0978178013795,0.018772008599032,0.010175704975888,0.472070415018107,10289.8144251806,329.575392754016,0.838818110807424,5.7025715110023,7.00087197010261,1.00695826668423,50,44,0.324589658529299,0.051183453994411,0.814551606622042
Massachusetts,2.28556811734952,24.3875287215696,0.021580248937327,0.021469705449402,0.560258975101885,6432.75503017187,2.4728074673265,5.99605546883913,5.33912856974606,3.77106858817692,0.942596396653854,72,11,0.255797163697026,0.114906225130558,1.41581316937203
Michigan,2.84398866567704,40.5949026612962,0.018930579659958,0.017382801692863,0.377400016842136,4951.25473482563,1999.90673024958,3.82654310291066,3.57384439046854,6.19924803124816,0.773556696325165,24,49,0.153764950797537,0.062543978274124,0.576496435124726
Minnesota,1.83835336149645,31.127776176875,0.025939464996275,0.010012525895716,0.343466855047753,6986.503,237.242908940152,0.500000000000022,3.30982826795057,8.01991115277044,0.525657472929916,62,45,0.34095452985031,0.025248873168655,0.412701363506653
Mississippi,2.61090720346306,239.21793835185,0.142857120633715,0.012599811502516,0.496363290652152,2315.85882935082,330.107944023304,4.68972763602517,2.59783142775232,5.00740873541536,0.269573759284986,48,50,0.265563504333515,0.032940978635086,0.518797558781037
Missouri,1.78533396833524,87.2650375368096,0.03713120545714,0.008978029562059,0.238970895734608,1926.66667282301,1293.1136927548,6.91208865392172,1.72911060506638,7.70678211029843,0.210103333870482,40,46,0.129924065641899,0.015588932320107,0.224362202060416
Montana,4.18298995775981,366.673475241709,0.010299725031747,0.004887874788333,0.389248281682445,546.507429738313,45.0739926522646,2.81114381263935,0.359561537465564,7.36806885016259,0.122738597896214,14,52,0.009600450805747,0.001772835461442,0.048799969812664
Nebraska,1.81271377693402,27.8502173810823,0.037334634270257,0.003718403621206,0.389941866796801,2720.64686360263,24.2962640240178,0.500000000000022,4.39647663796457,6.33810574628959,0.635945102761971,78,27,0.458847342329739,0.012682844296716,0.69365782363892
Nevada,2.05194925323881,47.5883865075199,0.020604087290103,0.005965878157628,0.435168435191811,4834.531,600.684261567959,2.00961809810315,2.65721613626143,9.71949708019174,0.420203477911343,36,44,0.121556431840701,0.015725037852606,0.273390291116689
New Hampshire,1.65020599482049,74.1962060989217,0.04313212713235,0.014079747413326,0.407697746882323,728.215782227888,122.080280304539,25,1.7710081996147,4.84633244490354,0.216330899280561,62,41,0.17787130075034,0.025055134699048,0.365432668878733
New Jersey,2.42017056133783,22.2737845220709,0.014013123139961,0.028352418744073,1.05559101978228,12326.7072946009,800.704579223411,2.98462130790406,5.13164068790711,2.81342214705601,1.06388055458714,36,43,0.147607936569288,0.145117003404746,1.82398531741029
New Mexico,1.71756459490359,105.153812902369,0.032738725677248,0.018642004921524,0.724439936049466,1995.44866666667,268.844709837288,18.1442921100787,1.18248254347689,3.16457952847615,0.15228931691227,46,50,0.099777781223694,0.02212696935943,0.373661819156838
New York,2.75093265915667,9.05876225853413,0.005000000000022,0.017540903784156,0.675730611308987,61619.728173106,1224.50754652005,1.01484800553549,10.0599469021882,5.50741676051808,2.75895035975609,35,0,0.065027098325311,0.163982679664057,1.82661805700026
North Carolina,2.36355835434514,203.250908709354,0.120690557981643,0.004827807418955,0.363440389429884,13748.2699267389,391.019400139459,25,2.44512321083748,9.71891151626719,0.253638058375065,49,42,0.246763822744257,0.01188285483363,0.251584059258582
North Dakota,1.50989849044022,65.3898713294471,0.005005419435125,0.012724346072801,0.709408595801042,710.173872532703,94.8243307497262,3.4030502692827,0.874216131736345,2.59510716924971,0.11752329109305,54,50,0.072282996441006,0.010940484960731,0.336870916968372
N. Mariana Islands,5.99999999999999,341.07,0.005,0.013146373103834,0.999999999999975,163.574000005365,100,0.500000000000027,0.4717,13.896,0.3298,3,67,0.0026,0.0042,0.0339
Ohio,1.75066274054824,41.8693439251534,0.025666217844466,0.008540658348154,0.178491643211767,2740.81190686402,3399.99160863836,3.9254196307714,2.71644112077499,9.1971403761746,0.363524996218376,44,48,0.187240772047215,0.023131696954959,0.295357144685101
Oklahoma,1.68451967176599,77.3622342938703,0.020192086534829,0.006501127825203,0.393350255929487,4590.55513209718,2300.67127128965,25,1.44866451024729,9.32713400309191,0.203209504010923,27,45,0.061194294551626,0.009448100920418,0.155317218533267
Oregon,2.13722288593176,106.58164719014,0.017641966899182,0.004850230713347,0.179189298273774,2725.93699898235,108.07806414421,0.500000000000022,1.15789935964646,12.4749812939931,0.195476238889229,42,38,0.046854379693285,0.004373636520585,0.09281772311787
Pennsylvania,2.05770496035233,22.4006107603882,0.022411200110114,0.009388376173268,0.16784423108003,3818.90358659366,2492.8854738358,6.58099082510562,5.43685726908694,9.24535764630619,0.872081663109052,41,45,0.288691546027873,0.051139551692093,0.588063488410223
