State,Reproduction,Psi,Alpha,Xi,Capture,HalfSaturation ,I0,ag,bg,Mortality,TrueCases,Residual
Kansas,2.17871259299657,917.171757958921,0.002500000000027,0.016536401595596,0.264325643241586,0.001558362744244,12.2387499136208,0.50000000000003,41.9999999999975,0.012934464845603,0.57713986048453,19720.1945261675
Utah,2.97476611729678,3407.73442682093,0.099499998827908,0.004203767335439,0.253913066587556,0.000477881554647,1.00161991581636,2.62478683303787,8.0006497044543,0.00472383093987,0.584017926903943,789.159291023932
Arkansas,2.00000000000018,1466.3353801755,0.036236240861371,0.007834110610598,0.213845695136155,0.000395817854406,51.6177077221165,0.634339301043132,33.1053112513552,0.00707080311507,0.594845792857309,2489.57463065026
Oklahoma,2.6095710760064,1105.27331201457,0.004573574605311,0.014789077520736,0.135752943478063,0.000984381535144,14.7752861058439,0.879274161988258,23.8833357192184,0.013005252916911,0.617688464953496,2656.09625355926
South Carolina,2.00000000003373,1108.84155805056,0.025559465087061,0.011898193715274,0.18411139414257,0.002924204658572,81.8824779302998,4.58953502299938,4.57562691966908,0.012611188377519,0.671758473375061,9351.08641631119
Vermont,4.0130914459105,1102.97166684505,0.002500000000261,0.01631254199615,0.194375585332786,0.00307377213378,1.74228499595794,0.637029496602342,32.9655064828325,0.013762154656841,0.675485689033164,437.176458087035
Guam,3.7270113642106,910.122596456055,0.002500000000022,0.00745028724292,0.934166666666691,0.010822354133466,1.00000000000002,0.500000000000022,41.9999999999981,0.006362587311972,0.714249045638061,444.710523804721
Kentucky,2.06978903784264,896.475029520032,0.01261267099895,0.017252756701101,0.175011311067484,0.007874345324164,30.6519781742734,0.500000000000023,41.999999999998,0.013484271993851,0.72826850093745,9448.8672807473
Nebraska,2.14670187063376,391.838301385138,0.007283659444442,0.004929856810914,0.063686270369462,0.002133886277887,1.07120730108482,1.84860465399925,11.3599194692975,0.005841477696416,0.761734385236611,209.712283722569
Tennessee,4.19927595653225,2853.73544157224,0.09570891976704,0.006746107273108,0.190405306744146,0.002970783875157,3.92185416815201,0.500000000000024,41.999999999998,0.005959269961319,0.841639896209997,28092.6550962104
Texas,2.61295812373388,1316.56862069088,0.052021252126144,0.005533941037716,0.096462231462307,0.002106299102718,1.00000000162116,1.43577023549736,14.6262956849258,0.005728941226921,0.856507446802725,25800.7226965323
Iowa,2.00000000000017,678.16761362424,0.067015371004088,0.015858081685202,0.412897257100632,0.000541758402844,11.3315622154855,0.500000000000024,41.999999999998,0.017457892888788,0.872582331813991,8157.35125909396
Maine,2.00000000000025,1281.66378696596,0.043757162063287,0.009183954299472,0.111893973343156,0.019990894293424,60.1417751229055,0.500000000000035,41.999999999997,0.007576745184429,1.1099146942436,3669.7388134518
Florida,4.35430928509871,1206.31912863591,0.045719424778326,0.008085009472615,0.126196233930165,0.001652465077267,1.03370221290714,2.43586637173755,8.62116257429192,0.00858516896219,1.13595618179114,31199.7009079918
Wisconsin,2.00000000000018,714.454637714612,0.027784823274129,0.010958349949647,0.125855213375268,0.00562692921648,1.89908359060561,0.500000000000028,41.9999999999977,0.008848596897545,1.16292095880096,51602.3268777816
South Dakota,2.98984044776627,586.911746950908,0.009006812389249,0.004386960695178,0.268989707297807,0.000731710950466,1.00034459657266,10.2506388301105,2.04865280574651,0.004704356583028,1.20514283061471,875.749370369713
Mississippi,2.00000000000017,1208.45057838444,0.099499999999978,0.017385348802455,0.258882833520602,0.001104784375412,87.6984816292953,1.53876281482578,13.647327448823,0.019281986237988,1.28089073477785,6215.48079517866
California,2.21123398795798,698.060412907572,0.043080141357936,0.006558029021264,0.07265447234521,0.003684773950153,1.00013071318999,1.8528975877375,11.3335999458245,0.006758559554331,1.42547942688896,186737.802530768
Minnesota,2.00000000000017,323.835314772333,0.008896698428178,0.016259215015817,0.146085668614852,0.003237090607344,14.5034864779952,0.500000000000022,41.9999999999981,0.013018019158751,1.57073183708605,87709.7769289646
North Carolina,2.00000000000031,849.183018124495,0.065157432590532,0.007233650019389,0.093979035652923,0.000310876610094,73.3284882320337,0.629733306481012,33.3474500774769,0.006535190168237,1.63235271389724,72265.84650098
Missouri,5.56310807722923,1640.80300440159,0.093639802501877,0.006675900467678,0.063228813972465,0.000402530180817,1.00110960148623,2.94977015884447,7.11919874063221,0.007079369096495,1.63619470476202,7687.36121838619
Georgia,2.70597695021326,538.340715224201,0.029293642374159,0.010102642373091,0.12070318936481,0.003639864374679,38.972795037915,0.851803225640877,24.6535812120224,0.009397339934065,1.68721140720519,32692.8462354695
Arizona,2.00000000000017,1027.4020580565,0.099499999999978,0.007085365629229,0.063370000000022,0.003974326794109,1.00000000000002,5.64222165421764,3.72193814546477,0.007493930592048,1.82894918400859,44833.5250871878
Nevada,2.79321161256345,594.495391038371,0.031544069833586,0.007203692831849,0.071593673943432,0.001351879580097,31.2320191159233,1.42951986458941,14.6902470683971,0.007223126610317,1.89632548116074,3046.35678887059
Alabama,3.06952198658938,1229.77714470337,0.09486058203867,0.006452665362818,0.078503666608437,0.007606892254688,131.572001219074,1.69639384573426,12.379200769212,0.006773871804292,1.93993295978421,10888.0314355557
Indiana,2.4795125980649,428.637702027867,0.031921980161056,0.014405893911548,0.120418714488273,0.000175202413218,64.5505093585363,1.12061534732091,18.7397040833015,0.014132227646547,2.10375862427156,55465.4062821903
Colorado,2.52530859438769,578.371943317564,0.051210066294254,0.010609306197623,0.110249215890032,0.001858178600308,97.1794999448891,1.80439141852844,11.6382730400737,0.011090820569372,2.10945315751054,56840.9245085499
Washington,2.05413976809849,360.343155252552,0.011887027966869,0.009717290654349,0.089210715694582,0.00466164939534,1.61543406247545,0.500000000000061,41.9999999999949,0.007720344405293,2.18428245241184,251904.822818888
Ohio,2.00000000000023,302.191985622403,0.023295420238021,0.00797259092113,0.064405727345521,0.000379841048531,323.694263552301,1.33389036927293,15.7434227607825,0.007839540313392,2.93002409925986,120436.05734025
Maryland,2.07933463015585,211.283358448451,0.011407280750084,0.016474052353814,0.187433054914387,0.000328414338834,62.5107965146673,0.844596021134049,24.8639580042102,0.015023706074759,2.93752053029945,152512.457096222
New Mexico,2.00000000000033,282.836585601485,0.027498333016215,0.007003199885917,0.081803065977565,0.010240224643931,44.9750769776259,1.32703909040609,15.8247033955675,0.006940209312366,3.23964940384055,5218.64815239557
