Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
06/18/2020,11799,3476,13528,7735,76542,6818,7014,2097,2113,25553,12696,390,1131,1197,25504,13540,5800,0,6509,0,42,8562,17340,301,12292,-5674,12340,1355,2426,3186,2636,23893,4344,68541,26256,4087,0,15461,4121,4786,11237,108,2941,7769,1365,7821,38103,3993,1082,0,11335,9795,144429,10638,1085
06/19/2020,8782,2446,12476,6338,81172,6502,11795,1750,1592,21559,6556,127,1370,1518,27310,8165,5718,5525,4841,45688,3101,8628,11621,29742,14273,0,8942,1552,3033,3564,2525,22609,4278,79303,18635,3778,0,16012,5025,4781,13150,84,3180,7777,840,9295,16173,4673,1142,97,9873,10006,146014,11161,320
06/20/2020,8194,3287,13058,7462,78710,7595,3799,1982,4162,28401,24613,295,990,1635,25965,8915,3558,0,5914,13907,2415,11802,7208,14706,16891,0,4831,1108,4008,4603,2995,24530,4427,68830,19028,3896,0,13929,7384,178,10509,268,3899,7949,722,13651,39484,5519,1141,42,8834,7072,148396,10225,-9133
06/21/2020,5155,1133,14464,0,84844,7016,2043,2558,1569,38024,9719,0,1126,1756,23816,10118,6945,0,0,5996,1414,9424,5228,12792,12320,0,4042,827,2387,2728,2201,26094,8829,67526,14434,3861,0,13256,478,8516,10018,62,1958,6418,1111,10289,62782,3518,817,12,14255,3797,150589,6060,18
06/22/2020,4432,2773,10046,14105,92430,5637,6351,1749,2482,18191,9719,394,851,0,18219,6996,1480,7364,4858,7252,14,7433,13590,10591,8774,14534,2217,948,2267,2374,1287,22432,0,56780,11570,2184,0,16380,218,4017,10103,39,1072,1213,303,14476,22829,2917,762,0,8774,13634,151204,6563,33
06/23/2020,4924,2123,10720,8153,85243,6238,-1484,813,1298,23265,23235,247,629,3183,20507,7460,6071,0,9247,17875,703,10360,14067,10651,6908,611,0,2618,2134,4461,1379,16052,4645,48709,16483,320,48,10836,12399,4084,11255,121,3846,5371,657,5314,48281,2964,721,42,8137,13098,154328,11828,1347
06/24/2020,4708,3149,8662,7374,95970,4114,6473,665,871,27590,11973,387,1199,1646,29331,5507,5256,6692,4387,12566,3483,8887,13998,16137,9598,7801,9650,1143,2659,4091,3162,16194,4007,51144,17457,3863,0,10250,3221,3296,12305,135,3988,8957,1091,12885,32968,2462,532,51,10763,14545,157048,10104,1412
06/25/2020,10686,3356,15000,5514,101446,6281,7850,2791,2558,52302,14690,380,1396,2684,31686,12369,7095,0,7171,12160,2408,11637,12646,18034,13053,4336,14624,3266,1869,3553,2775,21265,6022,67642,19993,2894,0,18943,6687,2610,13393,57,3614,15150,777,9245,29082,7316,849,63,11740,13233,158704,11222,44
06/26/2020,8852,2340,15530,0,76969,8287,12704,1108,1392,48241,13104,474,1070,1811,30478,9638,6589,6154,7849,17341,2256,9914,13231,18867,14582,5897,6970,1829,1832,3112,2509,25762,6565,61723,25447,4343,0,21922,5812,250,14280,45,2971,1313,1161,14483,37994,5514,880,52,11693,13587,161957,9170,1579
06/27/2020,6169,3789,15007,6585,90996,7238,9206,2162,1148,60640,18785,259,1296,1666,30237,9127,6109,0,0,0,2078,10414,7836,19115,11629,5427,6672,1086,3596,3744,2979,20578,5968,73262,18406,4085,0,23287,14886,10755,0,144,2537,16493,1085,6521,25492,5234,1134,41,10518,8678,164655,9114,24
06/28/2020,1777,2719,15148,7257,93642,8521,6330,2084,3861,52372,17125,227,1177,2279,23789,7518,6163,0,7632,18105,1563,7564,6248,15858,16510,2867,5883,1227,4200,4554,2358,20583,2321,61906,16774,3109,0,11926,302,247,23901,123,3284,8638,793,0,52393,5647,1142,0,10692,4854,166508,6504,25
